2020-04-24 14:05:16 : Application loaded;	
2020-04-24 14:43:11 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:12 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:13 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:14 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:15 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:16 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:17 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:18 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:19 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:20 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:21 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:22 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:23 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:24 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:25 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:26 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:27 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:28 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:29 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:30 : OPC Server : Disconnect;	
2020-04-24 14:43:30 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:33 : Application closed;	
2020-04-24 14:52:42 : Application loaded;	
2020-04-24 14:52:53 : OPC Server : Connect;	
2020-04-24 14:52:53 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:52:53 : Item = New Alias 1.TCFrnExh_Exit_1; Value = MN; Timestamp : 4/24/2020 2:05:52 PM; 	
2020-04-24 14:52:54 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:52:55 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:52:56 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:52:57 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:52:58 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:52:59 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:00 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:01 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:02 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:03 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:04 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:05 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:06 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:07 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:08 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:09 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:10 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:11 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:12 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:13 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:14 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:15 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:16 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:17 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:18 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:19 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:20 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:21 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:22 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:23 : OPC Server : Disconnect;	
2020-04-24 14:53:23 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:53:29 : Application closed;	
2020-04-24 14:57:32 : Application loaded;	
2020-04-24 14:57:44 : OPC Server : Connect;	
2020-04-24 14:57:44 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:57:44 : Item = New Alias 1.TCFrnExh_Exit_1; Value = MN; Timestamp : 4/24/2020 2:05:52 PM; 	
